step,chunk_id,chunk_index,chunk_boundary,deadline_offset_ns,emit_offset_ns,fallback,observation_age_ns,safety_flags,safety_rejected,action_0,action_1,action_2,action_3,action_4,action_5,action_6
20,7,2,1,2000000000,2000072822,0,356838034,1,0,-0.430522,0.117218,-1,0.00318055,-0.0858568,0.020403,-0.997017
21,7,3,0,2100000000,2100069813,0,456835575,1,0,-0.464173,0.0602892,-1,0.00387897,-0.0807154,0.0225108,-1
22,7,4,0,2200000000,2200065025,0,556830887,1,0,-0.634889,-0.00354618,-1,0.0304067,-0.100991,0.0411796,-1
23,8,2,1,2300000000,2300077326,0,358072458,0,0,-0.697661,0.0192138,-0.974409,0.00666316,-0.0891836,0.0338021,-0.992787
24,8,3,0,2400000000,2400064707,0,458059879,1,0,-0.678452,-0.0408523,-0.972073,0.00969831,-0.084887,0.0350877,-1
25,8,4,0,2500000000,2500087079,0,558081921,1,0,-0.780693,-0.0918409,-0.989549,0.0401936,-0.107556,0.0521945,-1
26,9,2,1,2600000000,2600071250,0,358626880,0,0,-0.616552,-0.0186146,-0.906948,0.00456388,-0.081199,0.0272297,-0.42946
27,9,3,0,2700000000,2700066662,0,458622432,1,0,-0.466122,-0.057025,-0.758944,0.00537167,-0.0602145,0.0232147,1
28,9,4,0,2800000000,2800077574,0,558633623,0,0,-0.587485,-0.105182,-0.860279,0.0379627,-0.0809346,0.0382915,-0.986617
29,10,2,1,2900000000,2900087505,0,344383202,1,0,-0.157485,0.0517584,-0.269738,-0.00809138,-0.0241696,-0.00721606,1
30,10,3,0,3000000000,3000073146,0,444368793,0,0,-0.063152,0.0334255,-0.130683,-0.0200475,-0.00267314,-0.0151086,0.993984
31,10,4,0,3100000000,3100073828,0,544369195,0,0,-0.0981964,-0.000540532,-0.125053,0.000539427,-0.0107841,-0.013621,0.992842
32,11,2,1,3200000000,3200071709,0,349636453,0,0,-0.0610197,0.0603351,-0.0993948,-0.0261424,-0.0210665,-0.00960194,0.997763
33,11,3,0,3300000000,3300076010,0,449640444,0,0,0.00555071,0.0401969,0.00953419,-0.0358732,-0.00100821,-0.0180836,0.994738
34,11,4,0,3400000000,3400065532,0,549630826,1,0,-0.0420373,0.00862995,-0.0101786,-0.00724275,-0.00860484,-0.0166056,1
35,12,2,1,3500000000,3500064483,0,351459040,0,0,-0.013792,0.0425569,0.0444854,-0.0256986,-0.0168542,-0.027516,0.992129
36,12,3,0,3600000000,3600096256,0,451490233,0,0,0.0367013,0.0244927,0.136565,-0.0317926,0.001711,-0.0337049,0.990783
37,12,4,0,3700000000,3700073406,0,551467483,1,0,-0.0244232,-0.00290281,0.110106,-0.000680012,-0.0053113,-0.0277484,1
38,13,2,1,3800000000,3800074878,0,353113236,1,0,0.0286812,0.107041,0.17732,-0.0510337,-0.00282096,-0.011516,1
39,13,3,0,3900000000,3900094849,0,453132797,1,0,0.115796,0.0707838,0.325456,-0.053134,0.0220441,-0.025446,1
40,13,4,0,4000000000,4000072661,0,553110518,1,0,-0.0587855,0.0130596,0.113477,0.0022971,0.00686297,-0.00444913,-1
41,14,2,1,4100000000,4100066212,0,355882303,1,0,0.10014,0.10791,0.368483,-0.0625209,0.014758,-0.0233919,1
42,14,3,0,4200000000,4200068524,0,455885135,1,0,0.187998,0.0725636,0.519998,-0.0598606,0.0389249,-0.0377376,1
43,14,4,0,4300000000,4300065165,0,555881576,1,0,-0.0971643,-0.0130966,0.109045,0.00971281,0.0136621,-0.00412066,-1
44,15,2,1,4400000000,4400069336,0,351462441,1,0,-0.0708453,0.0951388,-0.0304216,-0.0379904,-0.00706077,0.00491325,1
45,15,3,0,4500000000,4500064918,0,451457922,1,0,0.0486584,0.0721593,0.165883,-0.0473682,0.0159377,-0.00999812,1
46,15,4,0,4600000000,4600069459,0,551462193,1,0,-0.265042,-0.0144976,-0.286303,0.0158389,-0.00578219,0.0228837,-1
47,16,2,1,4700000000,4700070070,0,356875643,1,0,-0.2764,0.0413037,-0.385278,-0.00583465,-0.0161141,0.0263134,1
48,16,3,0,4800000000,4800074042,0,456879635,1,0,-0.119855,0.0313895,-0.164653,-0.0190119,0.00416887,0.0122127,1
49,16,4,0,4900000000,4900077294,0,556883377,1,0,-0.50129,-0.064314,-0.676965,0.0497277,-0.021663,0.0615508,-1
50,17,2,1,5000000000,5000076325,0,357780483,1,0,-0.269022,0.0418272,-0.372532,-0.00483437,-0.0141122,0.0252739,1
51,17,3,0,5100000000,5100067207,0,457771255,1,0,-0.100995,0.0349241,-0.142859,-0.0187411,0.00719996,0.0118502,1
52,17,4,0,5200000000,5200076738,0,557780956,1,0,-0.476299,-0.0556624,-0.63953,0.0456344,-0.0155672,0.0562504,-1
53,18,2,1,5300000000,5300066679,0,356430894,1,0,0.0446074,0.0949846,0.248313,-0.0535133,0.00973005,-0.0128502,1
54,18,3,0,5400000000,5400076171,0,456440566,1,0,0.140101,0.061946,0.415113,-0.0544211,0.0361665,-0.0271802,1
55,18,4,0,5500000000,5500071762,0,556435447,1,0,-0.18499,-0.0233282,-0.0357348,0.0138922,0.00849124,0.00604963,-1
56,19,2,1,5600000000,5600098374,0,349735804,1,0,0.0875531,0.0808595,0.389198,-0.05788,0.0189754,-0.03322,1
57,19,3,0,5700000000,5700071505,0,449708865,1,0,0.176851,0.0530548,0.54768,-0.0575328,0.045572,-0.0473772,1
58,19,4,0,5800000000,5800071817,0,549709347,0,0,-0.0362495,-0.0103774,0.305373,0.00403933,0.0271625,-0.0203745,-0.990821
59,20,2,1,5900000000,5900077678,0,356225390,0,0,0.107789,0.0787783,0.394245,-0.0564739,0.0236764,-0.0308317,0.998951
60,20,3,0,6000000000,6000076500,0,456224192,0,0,0.212986,0.0489618,0.569194,-0.0561401,0.0514314,-0.0468003,0.998085
61,20,4,0,6100000000,6100073991,0,556221763,1,0,-0.118434,-0.0357388,0.142265,0.0131983,0.019582,-0.0100581,-1
62,21,2,1,6200000000,6200075563,0,357111149,1,0,0.106779,0.0867861,0.389111,-0.0581485,0.0217602,-0.031746,1
63,21,3,0,6300000000,6300072664,0,457108150,1,0,0.216305,0.0567355,0.554486,-0.0581543,0.0490398,-0.0481196,1
64,21,4,0,6400000000,6400076985,0,557112571,1,0,-0.124315,-0.033384,0.142572,0.0128819,0.0168876,-0.0118261,-1
65,22,2,1,6500000000,6500074797,0,357883925,1,0,0.0643614,0.069806,0.229045,-0.0488648,0.0265714,-0.017303,1
66,22,3,0,6600000000,6600101749,0,457910697,1,0,0.18896,0.0333639,0.429194,-0.0470479,0.0517206,-0.0363561,1
67,22,4,0,6700000000,6700080610,0,557889328,1,0,-0.368075,-0.127387,-0.37838,0.055627,0.0020171,0.022036,-1
68,23,2,1,6800000000,6800075811,0,356347583,1,0,0.0625195,0.0467577,-0.0944034,-0.00926265,0.00362003,-0.0132809,1
69,23,3,0,6900000000,6900076423,0,456347945,1,0,0.166032,0.00888472,0.00248438,-0.00620442,0.0143987,-0.029597,1
70,23,4,0,7000000000,7000074464,0,556345986,1,0,-0.345201,-0.145024,-0.732586,0.102016,-0.0291949,0.0397412,-1
71,24,2,1,7100000000,7100078005,0,350932549,0,0,-0.0995502,0.0500148,-0.763971,0.00778062,-0.00997223,0.00924959,-0.981949
72,24,3,0,7200000000,7200076147,0,450930511,0,0,-0.0200868,-0.0113104,-0.708214,0.0109415,-0.00654091,0.000905819,0.953891
73,24,4,0,7300000000,7300076168,0,550930532,0,0,-0.360446,-0.127081,-0.928017,0.0997867,-0.0400471,0.0460184,-0.979083
74,25,2,1,7400000000,7400074300,0,357711192,1,0,0.070195,0.0509004,-0.0200123,-0.0137754,0.00857204,-0.0117881,1
75,25,3,0,7500000000,7500074511,0,457710913,1,0,0.184783,0.01653,0.133828,-0.0151429,0.0229984,-0.0288483,1
76,25,4,0,7600000000,7600099214,0,557736255,1,0,-0.35704,-0.141186,-0.666157,0.0970212,-0.0233421,0.0410666,-1
77,26,2,1,7700000000,7700073004,0,358349835,1,0,-0.0855111,0.0112358,-0.0248263,-0.0115427,-0.00998568,-0.00958559,1
78,26,3,0,7800000000,7800104226,0,458380987,1,0,0.0319676,-0.00227035,0.155762,-0.025056,0.0132406,-0.0252965,1
79,26,4,0,7900000000,7900107917,0,558384629,0,0,-0.147921,-0.0508227,-0.0250756,0.00979174,-0.000289951,-0.00715444,-0.998033
80,27,2,1,8000000000,8000104279,0,357012476,1,0,0.0670022,0.0691507,0.326064,-0.0529575,0.018287,-0.0302157,1
81,27,3,0,8100000000,8100077460,0,456985537,0,0,0.168499,0.041712,0.501005,-0.0547135,0.0446685,-0.046515,0.998784
82,27,4,0,8200000000,8200101192,0,557009239,1,0,-0.116521,-0.0318337,0.150602,0.00958263,0.0189353,-0.0154159,-1
83,28,2,1,8300000000,8300102983,0,355648598,1,0,0.0620329,0.0667476,0.339924,-0.0527119,0.0157133,-0.0318864,1
84,28,3,0,8400000000,8400105555,0,455651040,0,0,0.166777,0.0384808,0.514663,-0.0540221,0.0417044,-0.0489041,0.99772
85,28,4,0,8500000000,8500075446,0,555620931,1,0,-0.119636,-0.0358407,0.162011,0.00890614,0.0161753,-0.0170999,-1
86,29,2,1,8600000000,8600077967,0,358393205,1,0,0.0951476,0.0759439,0.401906,-0.0548095,0.0221317,-0.0358165,1
87,29,3,0,8700000000,8700098929,0,458414137,1,0,0.209057,0.0495944,0.600134,-0.0556528,0.0489432,-0.0534103,1
88,29,4,0,8800000000,8800075040,0,558390338,1,0,-0.172546,-0.0430219,0.0853144,0.015761,0.0131872,-0.0132972,-1
89,30,2,1,8900000000,8900104722,0,357012177,1,0,0.0919729,0.0375485,0.358863,-0.0438038,0.0362024,-0.0285909,1
90,30,3,0,9000000000,9000102583,0,457009598,1,0,0.212712,0.00759995,0.570927,-0.0427982,0.0642138,-0.0465031,1
91,30,4,0,9100000000,9100078405,0,556985480,1,0,-0.277214,-0.119189,-0.10748,0.0388264,0.0168646,0.00266091,-1
92,31,2,1,9200000000,9200099806,0,355484995,1,0,0.0342795,0.0275922,-0.00397909,-0.0142987,0.0161527,-0.0126172,1
93,31,3,0,9300000000,9300102988,0,455488087,1,0,0.158568,-0.00545478,0.19077,-0.0185905,0.03355,-0.0300026,1
94,31,4,0,9400000000,9400102189,0,555487528,1,0,-0.391121,-0.161569,-0.631289,0.0916706,-0.0139382,0.0376044,-1
95,32,2,1,9500000000,9500075280,0,358594979,0,0,-0.134831,0.0245277,-0.757556,0.0101771,-0.00683277,0.0126946,-0.982058
96,32,3,0,9600000000,9600105262,0,458624821,1,0,-0.0321329,-0.0201105,-0.647648,0.0118615,-0.000956486,0.000165652,1
97,32,4,0,9700000000,9700103994,0,558623423,1,0,-0.384003,-0.150593,-0.907812,0.1044,-0.0355089,0.0508879,-1
98,33,2,1,9800000000,9800074174,0,353142815,0,0,-0.20127,0.0322731,-0.834482,0.0136875,-0.0035776,0.0175686,-0.978643
99,33,3,0,9900000000,9900105077,0,453173798,0,0,-0.143092,-0.023962,-0.812142,0.0151749,0.00142178,0.0133051,-0.98145
100,33,4,0,10000000000,10000104518,0,553173269,0,0,-0.425282,-0.124627,-0.954628,0.0979172,-0.031558,0.054248,-0.991758
101,34,2,1,10100000000,10100103389,0,357469436,1,0,-0.114426,0.0204016,-0.0989614,-0.00735323,-0.00503421,-0.0104282,1
102,34,3,0,10200000000,10200103400,0,457469687,1,0,0.0217832,0.00824145,0.114268,-0.0197054,0.0163045,-0.0271839,1
103,34,4,0,10300000000,10300102882,0,557468949,1,0,-0.282622,-0.0662502,-0.243127,0.0271856,-0.00206962,0.0012235,-1
104,35,2,1,10400000000,10400077983,0,352963532,0,0,-0.124322,0.0146094,-0.160223,-0.00575613,-0.0217157,-0.0323315,0.994235
105,35,3,0,10500000000,10500065734,0,452951423,0,0,-0.0566507,0.00632579,-0.0521069,-0.0158761,-0.00556016,-0.04072,0.99165
106,35,4,0,10600000000,10600078546,0,552964055,0,0,-0.0977333,-0.0270327,-0.0469565,0.000918964,-0.0119936,-0.0370557,0.99631
107,36,2,1,10700000000,10700077328,0,352654566,0,0,-0.0766369,0.0116002,-0.0299172,-0.0106187,-0.00908956,-0.0268465,0.991156
108,36,3,0,10800000000,10800071179,0,452648357,0,0,-0.0288534,-0.000303447,0.058671,-0.0180121,0.00698145,-0.0330829,0.989742
109,36,4,0,10900000000,10900102921,0,552679489,1,0,-0.0730322,-0.0263849,0.0592689,0.00144243,-0.000318276,-0.0273593,1
110,37,2,1,11000000000,11000103562,0,351723116,0,0,-0.0351776,0.0327586,0.0806952,-0.0210744,-0.00942923,-0.0355399,0.989173
111,37,3,0,11100000000,11100078623,0,451697777,0,0,0.0240955,0.0208745,0.190265,-0.0295741,0.0080086,-0.0442467,0.986635
112,37,4,0,11200000000,11200076995,0,551697319,0,0,-0.0583025,-0.0149449,0.155383,0.00225849,-0.000923379,-0.0329689,0.99894
113,38,2,1,11300000000,11300064816,0,352906451,0,0,0.0173384,0.0305478,0.250197,-0.0338246,0.00580118,-0.0382249,0.986525
114,38,3,0,11400000000,11400076388,0,452918033,0,0,0.0891961,0.0141966,0.386089,-0.0373681,0.025589,-0.050229,0.986723
115,38,4,0,11500000000,11500067649,0,552909244,0,0,-0.0276444,-0.0327631,0.300368,0.00230999,0.0130413,-0.0332347,0.994741
116,39,2,1,11600000000,11600076961,0,354177697,0,0,0.110633,0.0396672,0.456537,-0.0477724,0.0294602,-0.0411277,0.996453
117,39,3,0,11700000000,11700067502,0,454168349,0,0,0.210944,0.0238115,0.627393,-0.0485736,0.0517624,-0.0542911,0.998692
118,39,4,0,11800000000,11800065193,0,554165940,0,0,0.0345818,-0.0438338,0.46138,0.00116214,0.0300457,-0.0308229,0.759234
119,40,2,1,11900000000,11900097645,0,357082998,0,0,0.197483,0.0440329,0.66298,-0.0427557,0.0555596,-0.0503746,0.997497
120,40,3,0,12000000000,12000075266,0,457060299,0,0,0.304946,0.0387017,0.780959,-0.0413202,0.0703051,-0.0599073,0.996047
121,40,4,0,12100000000,12100075398,0,557060381,0,0,-0.00038749,-0.0545166,0.398507,0.00985795,0.0393229,-0.0252048,-0.979517
122,41,2,1,12200000000,12200106700,0,358439427,1,0,0.221117,0.0581592,0.597175,-0.0480911,0.0476658,-0.0351695,1
123,41,3,0,12300000000,12300074601,0,458407448,1,0,0.35706,0.0386258,0.745968,-0.0433109,0.0646847,-0.0486977,1
124,41,4,0,12400000000,12400077362,0,558410749,1,0,-0.180376,-0.130708,-0.228154,0.0595127,0.00280526,0.0128065,-1
125,42,2,1,12500000000,12500068474,0,356849304,0,0,0.103849,0.0511755,-0.210421,-0.00602394,0.00191859,-0.00921403,-0.843571
126,42,3,0,12600000000,12600067145,0,456848095,1,0,0.19291,0.0152652,-0.144861,0.000103419,0.0128645,-0.0203836,1
127,42,4,0,12700000000,12700075756,0,556856926,1,0,-0.188695,-0.121476,-0.690977,0.0993902,-0.0276801,0.0379451,-1
128,43,2,1,12800000000,12800078368,0,357337414,0,0,0.00648782,0.0964155,-0.883128,0.013107,-0.00816599,0.00821886,-0.977307
129,43,3,0,12900000000,12900077439,0,457336375,0,0,0.0640731,0.0361592,-0.875124,0.0129517,-0.00535046,0.00400146,-0.977671
130,43,4,0,13000000000,13000104661,0,557363237,0,0,-0.214685,-0.0859773,-0.981061,0.0942351,-0.0362995,0.0421195,-0.977525
131,44,2,1,13100000000,13100104483,0,355237490,1,0,-0.142529,0.0795737,-1,0.0278349,-0.019756,0.0221989,-0.978656
132,44,3,0,13200000000,13200102694,0,455235741,0,0,-0.113051,0.0259629,-0.995137,0.0275577,-0.0170605,0.0222603,-0.987198
133,44,4,0,13300000000,13300075945,0,555208972,1,0,-0.353482,-0.0766494,-1,0.0967674,-0.0437357,0.0533007,-0.990805
134,45,2,1,13400000000,13400103307,0,351344048,1,0,-0.490366,-0.0511237,-0.720872,0.0106082,-0.0695024,0.0158677,1
135,45,3,0,13500000000,13500076668,0,451317539,1,0,-0.300736,-0.0846664,-0.515553,0.00829351,-0.0442352,0.00673023,1
136,45,4,0,13600000000,13600078409,0,551319850,1,0,-0.505866,-0.14962,-0.732028,0.0607861,-0.0675701,0.0286345,-1
137,46,2,1,13700000000,13700068661,0,358085860,1,0,-0.215423,-0.0213818,-0.333748,0.000285177,-0.0257965,-0.00213525,1
138,46,3,0,13800000000,13800063732,0,458081171,1,0,-0.132462,-0.0368364,-0.205146,-0.00145066,-0.00647409,-0.0111667,1
139,46,4,0,13900000000,13900096994,0,558113943,0,0,-0.166018,-0.0741572,-0.202826,0.00708092,-0.0164282,-0.00841791,0.99566
140,47,2,1,14000000000,14000074855,0,354284070,0,0,-0.0703505,0.0322061,-0.0564238,-0.00909925,-0.0182195,-0.0306673,0.988356
141,47,3,0,14100000000,14100103877,0,454312982,0,0,-0.0115708,0.0149221,0.0432392,-0.017591,-0.00100913,-0.0396979,0.985844
142,47,4,0,14200000000,14200104128,0,554313213,0,0,-0.0616219,-0.0124682,0.0313986,0.00152038,-0.00717287,-0.0339517,0.992136
143,48,2,1,14300000000,14300103550,0,354040944,0,0,-0.02804,0.0319636,0.0778958,-0.013801,-0.0160175,-0.0450377,0.993631
144,48,3,0,14400000000,14400102772,0,454040315,0,0,0.0360352,0.0162162,0.187741,-0.0233964,0.0026771,-0.0567167,0.988864
145,48,4,0,14500000000,14500073482,0,554010656,0,0,-0.0356388,-0.016761,0.158802,0.00246182,-0.00343213,-0.0464936,0.997919
146,49,2,1,14600000000,14600095294,0,359502759,1,0,0.101474,0.0570562,0.376364,-0.0483001,0.0235855,-0.0450421,1
147,49,3,0,14700000000,14700078775,0,459486990,0,0,0.198299,0.0279582,0.555834,-0.0483048,0.0490226,-0.0606156,0.998694
148,49,4,0,14800000000,14800097087,0,559504832,1,0,-0.0787137,-0.050455,0.179903,0.0102454,0.0235828,-0.0274563,-1
149,50,2,1,14900000000,14900090879,0,358794724,1,0,0.0799132,0.0593337,0.318023,-0.0415092,0.0315783,-0.0383551,1
150,50,3,0,15000000000,15000072419,0,458776984,0,0,0.175946,0.0337602,0.498642,-0.0421262,0.0582713,-0.0555039,0.998258
151,50,4,0,15100000000,15100070161,0,558774686,1,0,-0.120763,-0.047334,0.0807614,0.0131934,0.027346,-0.0201996,-1
152,51,2,1,15200000000,15200069922,0,356833533,1,0,0.0787376,0.0636855,0.309122,-0.0430365,0.0278353,-0.0359362,1
153,51,3,0,15300000000,15300068454,0,456832095,1,0,0.187732,0.0293586,0.515827,-0.0435052,0.0580653,-0.0568966,1
154,51,4,0,15400000000,15400070626,0,556833796,1,0,-0.165198,-0.0558884,0.00119522,0.0176459,0.0229375,-0.0167244,-1
155,52,2,1,15500000000,15500070007,0,351136304,1,0,0.0240886,0.0420449,0.117215,-0.0227509,0.0224357,-0.0266365,1
156,52,3,0,15600000000,15600067998,0,451134635,1,0,0.147236,0.0084651,0.355482,-0.029276,0.0484267,-0.0492256,1
157,52,4,0,15700000000,15700069699,0,551136136,1,0,-0.318627,-0.112034,-0.371263,0.0522594,0.00614079,0.00754589,-1
158,53,2,1,15800000000,15800078091,0,357760202,0,0,-0.354263,0.0145825,-0.745056,0.00690644,-0.00343893,0.0128899,-0.981488
159,53,3,0,15900000000,15900072242,0,457754273,1,0,-0.25286,-0.0205106,-0.612014,0.00647074,0.0062239,0.0021046,1
160,53,4,0,16000000000,16000070844,0,557753235,1,0,-0.526462,-0.10687,-0.865449,0.0750324,-0.0205709,0.0433696,-1
161,54,2,1,16100000000,16100066645,0,356310822,0,0,-0.239759,0.0261233,-0.586398,0.00593899,0.000738354,0.00455559,0.655344
162,54,3,0,16200000000,16200073577,0,456317674,1,0,-0.135868,-0.00602063,-0.45358,0.00458876,0.0126768,-0.0109817,1
163,54,4,0,16300000000,16300071538,0,556315475,1,0,-0.461125,-0.100314,-0.810553,0.0832432,-0.0182681,0.0368964,-1
164,55,2,1,16400000000,16400068550,0,358452357,1,0,-0.132368,-0.00654207,-0.120946,-0.00359085,-0.00890479,-0.0261648,1
165,55,3,0,16500000000,16500064811,0,458448878,1,0,-0.0254026,-0.0210926,0.0521701,-0.00743311,0.0102909,-0.0458047,1
166,55,4,0,16600000000,16600066292,0,558450439,1,0,-0.296438,-0.091081,-0.279794,0.0347514,-0.00814722,-0.0128785,-1
167,56,2,1,16700000000,16700078774,0,350649834,1,0,-0.0832616,0.0228541,0.051218,-0.0138347,-0.013046,-0.0395887,1
168,56,3,0,16800000000,16800066075,0,450637065,1,0,0.011475,0.00603365,0.205927,-0.0241022,0.00636418,-0.0539218,1
169,56,4,0,16900000000,16900071937,0,550642367,0,0,-0.180266,-0.0379687,-0.0063356,0.00834145,-0.0069788,-0.0284893,-0.99483
170,57,2,1,17000000000,17000074459,0,357258493,1,0,-0.0842177,0.0320939,0.0128711,-0.0146663,-0.00802553,-0.0379915,1
171,57,3,0,17100000000,17100072350,0,457256364,0,0,0.0111115,0.0169638,0.171077,-0.0250035,0.011564,-0.0521316,0.997753
172,57,4,0,17200000000,17200071541,0,557255526,1,0,-0.211894,-0.0337088,-0.0884479,0.00902394,-0.00344475,-0.0230059,-1
173,58,2,1,17300000000,17300097543,0,361547262,0,0,-0.0368452,0.0236991,0.0924026,-0.0193601,-0.0132978,-0.0486322,0.999244
174,58,3,0,17400000000,17400101725,0,461551724,0,0,0.0310988,0.00775541,0.217353,-0.0262444,0.00524977,-0.0601122,0.991837
175,58,4,0,17500000000,17500072975,0,561522824,1,0,-0.0845343,-0.0370154,0.139201,0.00232896,-0.00317298,-0.0412954,1
176,59,2,1,17600000000,17600079137,0,359917997,1,0,-0.0610541,0.0256141,0.0579729,-0.0159143,-0.00616175,-0.0461013,1
177,59,3,0,17700000000,17700081939,0,459921479,0,0,0.0162913,0.0111584,0.194117,-0.0252359,0.0113832,-0.0590806,0.999081
178,59,4,0,17800000000,17800068530,0,559907930,0,0,-0.161845,-0.0345034,0.00661325,0.00563339,-0.00031552,-0.0353342,-0.962898
179,60,2,1,17900000000,17900076872,0,361053652,1,0,-0.0282856,0.0238031,0.120166,-0.0238011,0.00252305,-0.0410221,1
180,60,3,0,18000000000,18000099354,0,461075853,0,0,0.0687675,0.00375456,0.289309,-0.0309656,0.0235012,-0.0574391,0.995096
181,60,4,0,18100000000,18100099125,0,561075655,1,0,-0.227052,-0.06536,-0.0897479,0.0130111,0.00433204,-0.020259,-1
182,61,2,1,18200000000,18200104956,0,360145712,1,0,-0.028484,0.0361013,0.093142,-0.0228272,-0.00269582,-0.0484792,1
183,61,3,0,18300000000,18300073157,0,460113783,0,0,0.058756,0.0162208,0.247729,-0.0304213,0.0175852,-0.0656556,0.999294
184,61,4,0,18400000000,18400100709,0,560141095,1,0,-0.199733,-0.0484274,-0.0747213,0.0106362,0.000909428,-0.0308979,-1
185,62,2,1,18500000000,18500075490,0,350756126,1,0,-0.0267094,0.0401856,0.086261,-0.0231884,-0.000271367,-0.0432614,1
186,62,3,0,18600000000,18600103402,0,450784008,0,0,0.0551361,0.0191919,0.237191,-0.0309973,0.0190031,-0.0582309,0.998391
187,62,4,0,18700000000,18700106074,0,550786890,1,0,-0.195092,-0.0505454,-0.0887909,0.0110943,0.000737733,-0.0235568,-1
188,63,2,1,18800000000,18800103755,0,356647759,1,0,-0.00188249,0.0344112,0.122802,-0.0221966,-0.000851457,-0.0506463,1
189,63,3,0,18900000000,18900104946,0,456648910,1,0,0.0873124,0.0145443,0.288912,-0.0296375,0.0199458,-0.0693058,1
190,63,4,0,19000000000,19000075657,0,556619651,1,0,-0.186731,-0.0611943,-0.0804559,0.0157753,-0.000691179,-0.0286525,-1
191,64,2,1,19100000000,19100084429,0,358545549,1,0,0.0176039,0.0269634,0.132184,-0.0222933,0.00587856,-0.0486311,1
192,64,3,0,19200000000,19200079660,0,458541150,0,0,0.12624,0.00791918,0.324565,-0.0306257,0.0279545,-0.0712873,0.997542
193,64,4,0,19300000000,19300073932,0,558535392,1,0,-0.216561,-0.0862707,-0.154822,0.0237801,0.00280719,-0.02219,-1
194,65,2,1,19400000000,19400075373,0,358314844,1,0,0.008317,0.0286341,0.0678954,-0.0163553,0.00747605,-0.0452955,1
195,65,3,0,19500000000,19500102055,0,458341206,1,0,0.123616,0.00657471,0.292045,-0.025426,0.0280953,-0.0704487,1
196,65,4,0,19600000000,19600081866,0,558320587,1,0,-0.244668,-0.0960096,-0.250529,0.0333632,-0.000653291,-0.0184778,-1
197,66,2,1,19700000000,19700101848,0,357798843,1,0,0.114983,0.0463121,0.347083,-0.0394228,0.0100758,-0.0677101,1
198,66,3,0,19800000000,19800080329,0,457777924,0,0,0.237888,0.0311942,0.548176,-0.0432516,0.0279675,-0.0889177,0.99872
199,66,4,0,19900000000,19900079660,0,557777325,1,0,-0.135766,-0.0868263,-0.0265574,0.0257488,0.00146409,-0.0314746,-1
200,67,2,1,20000000000,20000102562,0,357560768,0,0,0.0762215,0.0462499,0.278322,-0.0354573,0.00262611,-0.0623989,0.999818
201,67,3,0,20100000000,20100112454,0,457570690,0,0,0.200021,0.0257795,0.481258,-0.0395791,0.0205738,-0.0868211,0.993658
